focusLoc,locId,direction,time,n,category,name
1,1,from,2,29,Thrill Rides,Wrightiraptor Mountain
1,1,from,3,43,Thrill Rides,Wrightiraptor Mountain
1,1,from,4,19,Thrill Rides,Wrightiraptor Mountain
1,1,from,5,6,Thrill Rides,Wrightiraptor Mountain
1,1,from,6,25,Thrill Rides,Wrightiraptor Mountain
1,1,from,7,33,Thrill Rides,Wrightiraptor Mountain
1,1,from,8,28,Thrill Rides,Wrightiraptor Mountain
1,1,from,9,22,Thrill Rides,Wrightiraptor Mountain
1,1,from,10,19,Thrill Rides,Wrightiraptor Mountain
1,1,from,11,15,Thrill Rides,Wrightiraptor Mountain
1,1,from,12,5,Thrill Rides,Wrightiraptor Mountain
1,1,from,14,13,Thrill Rides,Wrightiraptor Mountain
1,1,from,25,10,Thrill Rides,Wrightiraptor Mountain
1,1,from,26,48,Thrill Rides,Wrightiraptor Mountain
1,1,from,27,21,Thrill Rides,Wrightiraptor Mountain
1,1,from,28,21,Thrill Rides,Wrightiraptor Mountain
1,1,from,29,32,Thrill Rides,Wrightiraptor Mountain
1,1,from,30,23,Thrill Rides,Wrightiraptor Mountain
1,1,from,31,19,Thrill Rides,Wrightiraptor Mountain
1,1,from,32,15,Thrill Rides,Wrightiraptor Mountain
1,1,from,33,31,Thrill Rides,Wrightiraptor Mountain
1,1,from,34,35,Thrill Rides,Wrightiraptor Mountain
1,1,from,35,42,Thrill Rides,Wrightiraptor Mountain
1,1,from,36,33,Thrill Rides,Wrightiraptor Mountain
1,1,from,37,17,Thrill Rides,Wrightiraptor Mountain
1,1,from,38,4,Thrill Rides,Wrightiraptor Mountain
1,1,from,39,8,Thrill Rides,Wrightiraptor Mountain
1,1,from,49,28,Thrill Rides,Wrightiraptor Mountain
1,1,from,50,48,Thrill Rides,Wrightiraptor Mountain
1,1,from,51,43,Thrill Rides,Wrightiraptor Mountain
1,1,from,52,41,Thrill Rides,Wrightiraptor Mountain
1,1,from,53,61,Thrill Rides,Wrightiraptor Mountain
1,1,from,54,40,Thrill Rides,Wrightiraptor Mountain
1,1,from,55,39,Thrill Rides,Wrightiraptor Mountain
1,1,from,56,34,Thrill Rides,Wrightiraptor Mountain
1,1,from,57,24,Thrill Rides,Wrightiraptor Mountain
1,1,from,58,47,Thrill Rides,Wrightiraptor Mountain
1,1,from,59,16,Thrill Rides,Wrightiraptor Mountain
1,1,from,60,34,Thrill Rides,Wrightiraptor Mountain
1,1,from,61,7,Thrill Rides,Wrightiraptor Mountain
1,1,from,62,11,Thrill Rides,Wrightiraptor Mountain
1,1,from,63,1,Thrill Rides,Wrightiraptor Mountain
1,1,to,2,32,Thrill Rides,Wrightiraptor Mountain
1,1,to,3,42,Thrill Rides,Wrightiraptor Mountain
1,1,to,4,23,Thrill Rides,Wrightiraptor Mountain
1,1,to,6,25,Thrill Rides,Wrightiraptor Mountain
1,1,to,7,33,Thrill Rides,Wrightiraptor Mountain
1,1,to,8,28,Thrill Rides,Wrightiraptor Mountain
1,1,to,9,22,Thrill Rides,Wrightiraptor Mountain
1,1,to,10,19,Thrill Rides,Wrightiraptor Mountain
1,1,to,11,15,Thrill Rides,Wrightiraptor Mountain
1,1,to,12,5,Thrill Rides,Wrightiraptor Mountain
1,1,to,14,13,Thrill Rides,Wrightiraptor Mountain
1,1,to,25,11,Thrill Rides,Wrightiraptor Mountain
1,1,to,26,52,Thrill Rides,Wrightiraptor Mountain
1,1,to,27,18,Thrill Rides,Wrightiraptor Mountain
1,1,to,28,29,Thrill Rides,Wrightiraptor Mountain
1,1,to,29,25,Thrill Rides,Wrightiraptor Mountain
1,1,to,30,24,Thrill Rides,Wrightiraptor Mountain
1,1,to,31,17,Thrill Rides,Wrightiraptor Mountain
1,1,to,32,14,Thrill Rides,Wrightiraptor Mountain
1,1,to,33,39,Thrill Rides,Wrightiraptor Mountain
1,1,to,34,39,Thrill Rides,Wrightiraptor Mountain
1,1,to,35,29,Thrill Rides,Wrightiraptor Mountain
1,1,to,36,34,Thrill Rides,Wrightiraptor Mountain
1,1,to,37,16,Thrill Rides,Wrightiraptor Mountain
1,1,to,38,4,Thrill Rides,Wrightiraptor Mountain
