timeBin,x,y,n
1,0,67,682
1,1,66,331
1,1,67,349
1,2,66,331
1,2,67,345
1,3,66,395
1,3,67,292
1,4,66,328
1,4,67,359
1,5,66,346
1,5,67,345
1,6,43,81
1,6,66,341
1,6,67,351
1,7,42,41
1,7,43,46
1,7,66,349
1,7,67,343
1,8,42,40
1,8,43,44
1,8,66,346
1,8,67,345
1,9,42,23
1,9,43,62
1,9,66,369
1,9,67,323
1,10,42,17
1,10,43,30
1,10,44,41
1,10,66,347
1,10,67,341
1,11,43,41
1,11,44,46
1,11,66,324
1,11,67,365
1,12,43,38
1,12,44,48
1,12,66,339
1,12,67,346
1,13,43,39
1,13,44,47
1,13,66,342
1,13,67,343
1,14,43,102
1,14,44,165
1,14,66,354
1,14,67,328
1,15,40,42
1,15,41,247
1,15,42,246
1,15,43,189
1,15,44,204
1,15,45,432
1,15,46,215
1,15,47,6
1,15,66,357
1,15,67,326
1,16,39,11
1,16,40,416
1,16,41,393
1,16,42,261
1,16,43,164
1,16,44,414
1,16,45,365
1,16,46,591
1,16,47,402
1,16,48,17
1,16,49,58
1,16,66,511
1,16,67,325
1,17,38,8
1,17,39,586
1,17,40,200
1,17,42,154
1,17,43,277
1,17,47,453
1,17,48,805
1,17,49,13
1,17,50,49
1,17,66,427
1,17,67,501
1,18,37,6
1,18,38,587
1,18,49,805
1,18,50,20
1,18,51,37
1,18,66,483
1,18,67,481
1,19,37,421
1,19,38,111
1,19,39,83
1,19,50,811
1,19,51,30
1,19,52,22
1,19,66,496
1,19,67,466
1,20,36,368
1,20,37,64
1,20,38,104
1,20,39,92
1,20,51,829
1,20,52,30
1,20,66,468
1,20,67,481
1,21,21,82
1,21,22,110
1,21,23,98
1,21,24,90
1,21,25,113
1,21,26,103
1,21,27,113
1,21,28,116
1,21,29,116
1,21,30,120
1,21,31,140
1,21,32,132
1,21,33,168
1,21,34,146
1,21,35,355
1,21,36,34
1,21,37,130
1,21,38,101
1,21,39,59
1,21,40,45
1,21,51,77
1,21,52,825
1,21,66,502
1,21,67,466
1,22,20,124
1,22,21,129
1,22,22,104
1,22,23,115
1,22,24,122
1,22,25,99
1,22,26,109
1,22,27,135
1,22,28,138
1,22,29,136
1,22,30,134
1,22,31,118
1,22,32,125
1,22,33,131
1,22,34,232
1,22,35,19
1,22,38,190
1,22,39,103
1,22,40,35
1,22,52,120
1,22,53,822
1,22,66,480
1,22,67,484
1,23,19,136
1,23,20,87
1,23,38,159
1,23,39,173
1,23,53,146
1,23,54,836
1,23,66,471
1,23,67,494
1,24,18,142
1,24,19,75
1,24,38,200
1,24,39,128
1,24,54,171
1,24,55,828
1,24,66,488
1,24,67,478
1,25,17,145
1,25,18,69
1,25,37,112
1,25,38,121
1,25,39,104
1,25,55,195
1,25,56,817
1,25,57,3
1,25,66,474
1,25,67,478
1,26,16,146
1,26,17,66
1,26,36,75
1,26,37,86
1,26,38,177
1,26,56,216
1,26,57,795
1,26,58,7
1,26,59,46
1,26,66,477
1,26,67,486
1,27,15,243
1,27,16,37
1,27,17,30
1,27,35,51
1,27,36,73
1,27,37,218
1,27,57,267
1,27,58,765
1,27,59,26
1,27,66,490
1,27,67,468
1,28,16,149
1,28,35,66
1,28,36,274
1,28,58,360
1,28,59,691
1,28,66,540
1,28,67,490
1,29,15,84
1,29,16,67
1,29,35,158
1,29,36,175
1,29,58,131
1,29,59,482
1,29,60,448
1,29,66,513
1,29,67,582
1,30,15,64
1,30,16,86
1,30,35,252
1,30,36,65
1,30,59,231
1,30,60,791
1,30,66,551
1,30,67,552
1,31,15,71
1,31,16,80
1,31,34,240
1,31,35,50
1,31,36,74
1,31,59,20
1,31,60,336
1,31,61,682
1,31,66,594
1,31,67,492
1,32,15,72
1,32,16,79
1,32,33,268
1,32,34,88
1,32,35,194
1,32,36,55
1,32,37,32
1,32,60,31
1,32,61,512
1,32,62,489
1,32,65,157
1,32,66,491
1,32,67,693
1,33,15,81
1,33,16,71
1,33,36,228
1,33,37,54
1,33,61,56
